Order;Family;Genus;Species;Taxon;Species_english;Origin;Distribution;Distr_recent;habitat;habitat_short;migratory_status;diet;Likelihood;new_rank;new_name;comments;group
Accipitriformes;Accipitridae;Accipiter;Accipiter gentilis;Accipiter gentilis;Goshawk;Holarctic;Holarctic;yes;forest, open, cold-tolerant;diverse;resident;carnivore;high;species;Accipiter gentilis;;raptors
Accipitriformes;Accipitridae;Aquila;Aquila chrysaetos chrysaetos;Aquila chrysaetos chrysaetos;Golden Eagle;Holarctic;Holarctic;yes;open, mountainous;open;resident;carnivore;high;species;Aquila chrysaetos;;raptors
Accipitriformes;Accipitridae;Buteo;Buteo lagopus;Buteo lagopus;Rough-legged Hawk;Holarctic;Holarctic;yes;open, Tundra breeding, wintering partially northern middle Europe;open;partial migrant;carnivore;high;species;Buteo lagopus;;raptors
Accipitriformes;Accipitridae;Haliaeetus;Haliaeetus albicilla;Haliaeetus albicilla;White-tailed Eagle;Palaearctic;Palaearctic;yes;open water;water;partial migrant;piscivore;high;genus;Haliaeetus;;raptors
Accipitriformes;Accipitridae;Haliaeetus;Haliaeetus leucocephalus;Haliaeetus leucocephalus;Bald Eagle;Nearctic;Nearctic;yes;open water;water;partial migrant;piscivore;high;genus;Haliaeetus;;raptors
Accipitriformes;Accipitridae;Harpiia;Harpia harpyja;Harpia harpyja;Harpy Eagle;Neotropic;Neotropic;no;rainforest;forest;resident;carnivorous;low;family;Accipitridae;;raptors
Accipitriformes;Cathartidae;Cathartes;NA;Cathartes;New World Vultures;New World;New World;no;NA;NA;NA;carnivore;low;family;Cathartidae;new world vultures;raptors
Accipitriformes;Cathartidae;Gymnogyps;Gymnogyps californianus;Gymnogyps californianus;Californian Condor;Nearctic;Nearctic;no;open;open;resident;carnivorous;low;family;Cathartidae;new world vultures, Turkey vulture northest distr. Southern Canada;raptors
Anseriformes;Anatidae;Anas;Anas platyrhynchos;Anas platyrhynchos;Mallard;Palaearctic;Palaearctic;yes;freshwater;water;resident;herbivore;high;species;Anas platyrhynchos;;waterfowl
Anseriformes;Anatidae;Anser;Anser cygnoides;Anser cygnoides;Swan Goose;Palaearctic;Palaearctic;yes;freshwater, wetland;water;short-distance;herbivore;high;species;Anser cygnoides;Mongolia, Northeast China, and the Russian Far East;waterfowl
Anseriformes;Anatidae;Aythya;Aythya fuligula;Aythya fuligula;Tufted Duck;Palaearctic;Palaearctic;yes;freshwater;water;partial migrant;omnivore;high;species;Aythya fuligula;;waterfowl
Anseriformes;Anatidae;Cygnus;Cygnus atratus;Cygnus atratus;Black Swan;Australia;Australia;no;freshwater;water;resident;herbivore;low;genus;Cygnus;introduced GB, Sardegna, genus;waterfowl
Anseriformes;Anatidae;Cygnus;Cygnus olor;Cygnus olor;Mute Swan;Palaearctic;Palaearctic;yes;freshwater;water;partial migrant;herbivore;high;species;Cygnus olor;Europe, Russia (south), China (north);waterfowl
