"X","tax_id","taxon","rank","taxonReads","ncbi_rank","ncbi_name","path","species","genus","family","order","class","phylum","kingdom","clade","superkingdom","sample","lib_id","lib_id_order","years","ka","Lake"
1,1002788,"Indicator indicator","species",1,"species","Indicator indicator","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Piciformes; Indicatoridae; Indicator; Indicator indicator","Indicator indicator","Indicator","Indicatoridae","Piciformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
2,100784,"Balearica regulorum gibbericeps","subspecies",1,"subspecies","Balearica regulorum gibbericeps","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Gruiformes; Gruidae; Balearica; Balearica regulorum; Balearica regulorum gibbericeps","Balearica regulorum","Balearica","Gruidae","Gruiformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
3,109042,"Tympanuchus pallidicinctus","species",1,"species","Tympanuchus pallidicinctus","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Tetraoninae; Tympanuchus; Tympanuchus pallidicinctus","Tympanuchus pallidicinctus","Tympanuchus","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
4,1094192,"Motacilla alba alba","subspecies",3,"subspecies","Motacilla alba alba","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Passeroidea; Motacillidae; Motacilla; Motacilla alba; Motacilla alba alba","Motacilla alba","Motacilla","Motacillidae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
5,114313,"Pipridae","family",2,"family","Pipridae","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Pipridae",NA,NA,"Pipridae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
6,1155787,"Tetrastes bonasia","species",1,"species","Tetrastes bonasia","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Galloanserae; Galliformes; Phasianidae; Tetraoninae; Tetrastes; Tetrastes bonasia","Tetrastes bonasia","Tetrastes","Phasianidae","Galliformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
7,128390,"Nipponia nippon","species",1,"species","Nipponia nippon","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Pelecaniformes; Threskiornithidae; Nipponia; Nipponia nippon","Nipponia nippon","Nipponia","Threskiornithidae","Pelecaniformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
8,13146,"Melopsittacus undulatus","species",2,"species","Melopsittacus undulatus","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Psittaciformes; Psittaculidae; Melopsittacus; Melopsittacus undulatus","Melopsittacus undulatus","Melopsittacus","Psittaculidae","Psittaciformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
9,156563,"Cyanistes caeruleus","species",2,"species","Cyanistes caeruleus","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Paridae; Cyanistes; Cyanistes caeruleus","Cyanistes caeruleus","Cyanistes","Paridae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
10,1729112,"Passerellidae","family",1,"family","Passerellidae","cellular organisms; Eukaryota; Opisthokonta; Metazoa; Eumetazoa; Bilateria; Deuterostomia; Chordata; Craniata; Vertebrata; Gnathostomata; Teleostomi; Euteleostomi; Sarcopterygii; Dipnotetrapodomorpha; Tetrapoda; Amniota; Sauropsida; Sauria; Archelosauria; Archosauria; Dinosauria; Saurischia; Theropoda; Coelurosauria; Aves; Neognathae; Passeriformes; Passerellidae",NA,NA,"Passerellidae","Passeriformes","Aves","Chordata","Metazoa",NA,"Eukaryota","WJ192L-5_S32","WJ192L-5","01_WJ192L-5_43.16ka",43161,43.16,"ulu"
